iShares MSCI ACWI ETF
Fund Holdings as of,"Sep 21, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"206,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","1,667,551,485.70","5.00","1,667,551,485.70","7,333,765.00","227.38","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","1,587,357,578.06","4.76","1,587,357,578.06","4,682,747.00","338.98","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","1,128,779,002.32","3.38","1,128,779,002.32","2,250,312.00","501.61","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","797,778,549.45","2.39","797,778,549.45","3,086,781.00","258.45","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","664,890,402.33","1.99","664,890,402.33","1,873,089.00","354.97","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","613,127,597.93","1.84","613,127,597.93","7,851,000.00","78.10","Taiwan","Taiwan Stock Exchange","USD","31.76","TWD","Nov 10, 1994"
"AVGO","BROADCOM INC","Information Technology","Equity","522,825,162.40","1.57","522,825,162.40","1,441,640.00","362.66","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","522,337,011.17","1.57","522,337,011.17","1,488,691.00","350.87","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","518,656,538.95","1.55","518,656,538.95","699,710.00","741.25","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","376,280,766.56","1.13","376,280,766.56","360,436.00","1,043.96","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","342,393,696.00","1.03","342,393,696.00","912,320.00","375.30","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","320,271,675.04","0.96","320,271,675.04","520,327.00","615.52","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","298,170,839.20","0.89","298,170,839.20","846,980.00","352.04","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","297,519,895.34","0.89","297,519,895.34","255,406.00","1,164.89","United States","NYSE","USD","1.00","USD","-"
